"Feed","IFN","Cost","Forage","DM","CP","SP","ADICP","Sugars","OA","Fat","Ash","Starch","NDF","Lignin","TDN","ME","NEma","NEga","RUP","kd PB","kd CB1","kd CB2","kd CB3","PBID","CB1ID","CB2ID","pef","ARG","HIS","ILE","LEU","LYS","MET","CYS","PHE","TYR","THR","TRP","VAL","Ca","P","Mg","Cl","K","Na","S","Co","Cu","I","Fe","Mn","Se","Zn","Vit A","Vit D","Vit E"
"Unit",NA,"$/Tonne AF","%DM","%AF","%DM","%CP","%CP","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","Mcal/kg","Mcal/kg","Mcal/kg","%CP","%/h","%/h","%/h","%/h","%","%","%","%NDF","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","% DM","% DM","% DM","% DM","% DM","% DM","% DM","mg/kg","mg/kg","mg/kg","mg/kg","mg/kg","mg/kg","mg/kg","IU/g","IU/g","IU/kg"
"Dicalcium phosphate","6-01-080","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","22","19.3","0","0","0","0","1.14","0","0","0","0","0","0","0","0","0","0"
"EDTA","6-01-842","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","803400","0","0","0","0","0","0","0"
"Iron sulfate","6-20-734","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.35","0","0","0","218400","0","0","0","0","0","0"
"Limestone","6-02-632","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","34","0","2.06","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Limestone dolomitic, magnesium","6-02-633","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","22.3","0","9.99","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Magnesium carbonate","6-02-754","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0.02","0","30.81","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Magnesium chloride hexadydrate",NA,"0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.96","34.88","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Magnesium hydroxide",NA,"0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41.69","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Magnesium oxide","6-02-756","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","3.07","0","56.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Magnesium sulfate heptahydrate","6–02–758","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.86","0","0","0","13","0","0","0","0","0","0","0","0","0","0"
"Manganese carbonate","6-03-036","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","478000","0","0","0","0","0"
"Manganese oxide","6-03-056","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","774500","0","0","0","0","0"
"Manganese sulfate monohydrate",NA,"0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.97","0","0","0","0","325000","0","0","0","0","0"
"Manganese sulfate pentahydrate",NA,"0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.3","0","0","0","0","227890","0","0","0","0","0"
"Oystershell ground","6-03-481","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Phosphate deflourinated","6-01-780","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","32","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Phosphate mono-mono","6-04-288","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.5","0","0","0","16.68","0","0","0","0","0","0","0","0","0","0","0"
"Phosphate rock","6-03-945","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","35","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Phosphate rock, low fluor","6-03-946","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","36","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Phosphate rock, soft","6-03-947","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","17","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Phosphoric acid","6-03-707","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31.6","0","0","0","0","1.55","0","0","0","0","0","0","0","0","0","0"
"Potassium bicarbonate","6-29-493","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39.05","0","0","0","0","0","0","0","0","0","0","0","0"
"Potassium carbonate",NA,"0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56.58","0","0","0","0","0","0","0","0","0","0","0","0"
"Potassium chloride","6-03-755","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47.3","50","0","0","0","0","0","0","0","0","0","0","0","0"
"Potassium iodide","6-03-759","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","681700","0","0","0","0","0","0","0"
"Potassium sulfate","6-06-098","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41.84","0","17.35","0","0","0","0","0","0","0","0","0","0"
"Salt (sodium chloride)","6-04-152","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60.66","0","39.34","0","0","0","0","0","0","0","0","0","0","0"
"Sodium bicarbonate","6-04-272","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0"
"Sodium phosphate (monobasic, monohydrate)","6-04-288","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.5","0","0","0","16.68","0","0","0","0","0","0","0","0","0","0","0"
"Sodium selenite","6-26-013","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26.6","0","0","0","0","0","0","456000","0","0","0","0"
"Sodium sulfate decahydrate","6-04-292","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.27","9.95","0","0","0","0","0","0","0","0","0","0"
"Sodium tripolyphosphate","6-08-076","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0"
"Urea",NA,"0","0","99","281","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zinc oxide","6-05-553","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","780000","0","0","0"
"Zinc sulfate","6-05-555","0","0","100","0","0","0","0","0","0","100","0","0","0","0","0","0","0","100","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.68","0","0","0","0","0","0","363600","0","0","0"
