"Feed","IFN","Cost","Forage","DM","CP","SP","ADICP","Sugars","OA","Fat","Ash","Starch","NDF","Lignin","TDN","ME","NEma","NEga","RUP","kd PB","kd CB1","kd CB2","kd CB3","PBID","CB1ID","CB2ID","pef","ARG","HIS","ILE","LEU","LYS","MET","CYS","PHE","TYR","THR","TRP","VAL","Ca","P","Mg","Cl","K","Na","S","Co","Cu","I","Fe","Mn","Se","Zn","Vit A","Vit D","Vit E"
"Unit",NA,"$/Tonne AF","%DM","%AF","%DM","%CP","%CP","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","Mcal/kg","Mcal/kg","Mcal/kg","%CP","%/h","%/h","%/h","%/h","%","%","%","%NDF","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","% DM","% DM","% DM","% DM","% DM","% DM","% DM","mg/kg","mg/kg","mg/kg","mg/kg","mg/kg","mg/kg","mg/kg","IU/g","IU/g","IU/kg"
"Safflower meal",NA,"0","0","93.498","23.123","33.252","8.472","0","0","12.34","4.852","1.15","51.475","13.446","55.814","2.018","1.169","0.607","23.707","8.905","40","40","6","84.9","75","75","23","2.372","0.435","0.758","1.422","0.601","0.335","0","1.059","0","0.53","0.146","1.096","0.337","0.345","0.345","0.268","0.958","0.066","0.236","0.139","17.002","0","161.026","25.673","0.12","60.401","0","0","0"
"Soybean hay",NA,"0","100","90.499","16.54","35.247","8.702","0","0","3.043","8.789","5.368","44.846","7.275","60.121","2.174","1.314","0.74","34.395","3.631","30","30","3","74","75","75","98","0.468","0.165","0.468","0.908","0.468","0.111","0","0.579","0","0.468","0.744","0.633","1.382","0.379","0.379","0.419","1.787","0.012","0.226","0.3","8.511","20","176.541","80.882","0.03","29.47","8","0","0"
"Soybean hulls",NA,"0","0","90.043","12.369","30.506","6.369","2.15","0","2.283","5.047","1.101","64.813","2.475","62.648","2.265","1.397","0.815","53.098","8.702","40","40","8","57.2","75","75","2","0.584","0.228","0.304","0.601","0.562","0.058","0","0.37","0","0.339","0.083","0.408","0.599","0.273","0.273","0.055","1.337","0.021","0.124","0.603","7.553","0","436.925","20.033","0.14","44.786","0","0","3.7"
"Soybean meal high CP",NA,"0","0","89.235","52.853","44.109","10.17","13.3","0","1.88","7.36","2.017","11.332","1.167","79.548","2.876","1.928","1.285","29.453","7.301","25","25","6","75","75","75","36","5.497","1.66","1.993","3.346","2.035","0.333","0","3.092","0","1.823","0.92","2.785","0.416","0.319","0.319","0.063","2.356","0.023","0.41","1.065","15.915","0","201.871","42.295","0.53","51.684","0","0","0"
"Soybean meal low CP",NA,"0","0","91.683","46.531","19.492","8.972","11.55","0","8.34","6.429","5.052","18.785","1.478","81.146","2.934","1.977","1.326","44.077","7.301","25","25","6","75","75","75","36","4.839","1.461","1.754","2.945","1.791","0.293","0","2.722","0","1.605","0.81","2.452","0.369","0.292","0.292","1.093","2.024","0.074","1.051","0.753","17.608","0","160.561","40.66","0","71.843","0","0","0"
"Soybean meal, heated",NA,"0","0","89.755","48.853","13.051","10.78","0","0","8.267","6.548","1.325","22.672","1.808","79.347","2.869","1.922","1.28","49.442","9.559","25","25","6","89.7","75","75","23","3.2","1.378","2.272","3.532","2.619","0.493","0","2.413","0","1.72","0.801","2.487","0.349","0.291","0.291","0.07","2.135","0.036","0.373","0.12","12.402","0","148.599","30.073","0.51","40.404","0","0","0"
"Soybean silage",NA,"0","100","37.352","17.083","49.01","9.897","0","0","4.294","9.812","4.206","47.527","8.01","57.771","2.089","1.235","0.668","31.482","2.653","50","50","5","59.4","75","75","61","0.748","0.307","0.656","1.315","0.345","0.362","0","1.001","0","0.369","0.219","0","1.312","0.377","0.377","0.468","1.806","0.023","0.199","0","10.276","0","1191","85.645","0.07","46.932","0","0","0"
"Soybean stubble",NA,"0","0","85.481","5.534","18","9.125","0","0","0.7","9.267","13.05","69.745","1.979","35","1.265","0.414","-0.107","42","8.702","40","40","8","57.2","75","75","2","0.261","0.102","0.136","0.269","0.251","0.026","0","0.165","0","0.152","0.037","0.183","1.248","0.441","0.441","0","1.434","0.03","0.132","0.121","4","0","409","25","0.14","9","0","0","3.7"
"Soybeans, expelled",NA,"0","0","88.593","46.535","33","1","0","0","8.171","6.3","22.05","12.6","1.4","77","2.784","1.851","1.218","20","7.788","45","45","6","88.4","75","75","36","5.063","1.014","1.471","2.82","1.461","0.512","0","2.29","0","1.177","0.456","1.778","0.347","0.66","0.17","0","1.28","0.03","0.33","0","16","0.07","155","29","0","36","0","0","0"
"Soybeans, extruded",NA,"0","0","92.514","44.403","24.675","6.154","0","0","13.142","6.155","1.291","16.582","1.83","91.942","3.324","2.295","1.596","42.172","1.107","45","45","6","80.3","75","75","2","2.824","0.826","1.323","2.824","2.247","0.595","0","1.559","0","1.496","0.231","2.029","0.294","0.277","0.277","0.078","2.045","0.022","0.354","0","14.395","0","142.735","35.085","0","48.247","0","0","1"
"Soybeans, roasted",NA,"0","0","93.322","40.493","16.718","9.76","0","0","21.027","5.625","1.297","21.833","2.195","97.444","3.523","2.453","1.726","43.633","3.4","25","25","5","80.8","75","75","30","2.6","1.199","1.867","2.895","2.336","0.413","0","1.948","0","1.442","0.664","1.988","0.248","0.256","0.256","0.078","1.829","0.026","0.316","0","13.802","0","144.612","29.181","0.12","44.298","1.6","0","36.6"
"Soybeans, whole",NA,"0","0","92.852","39.973","52.983","10.607","0","0","20.611","5.492","1.029","17.979","1.921","91.031","3.291","2.268","1.574","29.01","7.446","25","25","6","75.9","75","75","100","4.157","1.255","1.507","2.53","1.539","0.252","0","2.338","0","1.379","0.696","2.107","0.253","0.25","0.25","0.072","1.807","0.016","0.309","1.01","14.589","0","139.142","31.631","0","47.221","0","0","0"
"Sudangrass, fresh",NA,"0","100","30.889","12.923","42.668","5.677","0","0","2.953","10.86","2.078","61.019","4.745","54.804","1.981","1.134","0.575","32.795","2.582","20","20","5","56.1","75","75","41","0.366","0.129","0.366","0.709","0.366","0.087","0","0.452","0","0.366","0.582","0.495","0.504","0.318","0.318","1.027","2.614","0.044","0.246","0.27","15.802","0","307.202","70.51","0","39.152","175.4","0","0"
"Sudangrass, hay",NA,"0","100","89.006","8.33","34.58","4.084","0","0","1.604","9.328","1.598","65.827","5.089","54.479","1.97","1.123","0.565","41.987","3.067","20","20","3","66.7","75","75","98","0.236","0.083","0.236","0.457","0.236","0.056","0","0.292","0","0.236","0.375","0.319","0.443","0.291","0.291","1.157","2.046","0.028","0.127","0.424","8.967","0","218.407","56.065","0.113","31.33","0","0","0"
"Sudangrass, silage",NA,"0","100","31.326","12.1","51.865","6.581","0.8","0","3.143","11.982","1.79","62.306","5.764","53.467","1.933","1.088","0.533","29.714","2.582","20","20","5","56.1","75","75","41","0.342","0.121","0.342","0.664","0.342","0.081","0","0.424","0","0.342","0.545","0.463","0.515","0.271","0.271","0.921","2.671","0.032","0.182","0.27","12.161","0","1239","74.891","0","41.239","175.4","0","0"
"Sugarcane bagasse, silage",NA,"0","100","39.798","3.933","46.741","9.526","0","0","1.139","6.407","0.873","75.585","17.313","45.027","1.628","0.79","0.253","46.295","2.582","20","20","5","56.1","75","75","41","0.111","0.039","0.111","0.216","0.111","0.026","0","0.138","0","0.111","0.177","0.151","0.291","0.091","0.091","0.152","0.413","0.027","0.092","0.27","7.154","0","1211","60.272","0","18.46","175.4","0","0"
"Sugarcane hay",NA,"0","100","92.723","5.489","36.247","4.792","0","0","1.84","10.207","1.5","68.922","6.6","53.722","1.942","1.097","0.541","29.54","3.67","30","30","3","73.3","75","75","98","0.155","0.055","0.155","0.301","0.155","0.037","0","0.192","0","0.155","0.247","0.21","0.385","0.225","0.225","0.307","1.356","0.057","0.161","0","16.78","0","2429","86.753","0","27.526","0","0","0"
"Sugarcane silage",NA,"0","100","34.23","5.412","51.591","6.71","0","0","1.862","7.897","3.042","68.765","9.717","51.987","1.88","1.037","0.485","47.745","5.142","25","25","4","74.8","75","75","81","0.101","0.058","0.13","0.346","0.115","0.043","0","0.159","0","0.115","0.006","0.173","0.291","0.163","0.163","0.813","1.319","0.04","0.18","0","9.527","0","431.826","61.182","0","33.436","0","0","0"
"Sunflower hulls",NA,"0","0","91.26","16.9","18","14","0","0","16.322","5.209","13.05","72.263","15.6","54.6","1.974","1.127","0.569","42","8.702","40","40","8","57.2","75","75","2","0.798","0.311","0.416","0.821","0.767","0.079","0","0.505","0","0.463","0.113","0.558","0.646","0.314","0.314","0","1.385","0.44","0.285","0.121","12","0","409","17","0.14","52","0","0","3.7"
"Sunflower meal",NA,"0","0","90.443","35.013","32.39","8.83","0","0","10.799","6.408","1.071","41.713","9.035","66.445","2.402","1.52","0.926","27.886","8.342","35","35","4","78.6","75","75","23","3.456","0.826","1.502","2.402","1.502","0.753","0","1.73","0","1.579","0.676","2.405","0.439","0.566","0.566","0.149","1.561","0.036","0.396","1","31.549","0","243.186","50.305","1","92.787","0","0","0"
"Sunflower screenings",NA,"0","0","89.326","15.412","30","22.5","0","0","20.986","6.123","3","47.236","12","56.45","2.041","1.19","0.627","20","8.342","35","35","4","78.6","75","75","23","1.521","0.364","0.661","1.057","0.661","0.331","0","0.761","0","0.695","0.297","1.059","0.732","0.435","0.435","0.11","1.608","0.031","0.231","0","14.333","0","33","40","2.3","36.333","0","0","0"
